%time,field.header.seq,field.header.stamp,field.header.frame_id,field.twist.linear.x,field.twist.linear.y,field.twist.linear.z,field.twist.angular.x,field.twist.angular.y,field.twist.angular.z
1627477707728401425,1,0,,0.0,0.0,0.0,0.0,0.0,0.0
1627477707761010527,2,0,,0.0,0.0,0.0,0.0,0.0,0.0
1627477707793788299,3,0,,0.0,0.0,0.0,0.0,0.0,0.0
1627477707827001127,4,0,,0.0,0.0,0.0,0.0,0.0,0.0
1627477707860803090,5,0,,0.0,0.0,0.0,0.0,0.0,0.0
1627477707894913587,6,0,,0.0,0.0,0.0,0.0,0.0,0.0
1627477707927368420,7,0,,0.0,0.0,0.0,0.0,0.0,0.0
1627477707960426222,8,0,,0.0,0.0,0.0,0.0,0.0,0.0
1627477707994929582,9,0,,0.0,0.0,0.0,0.0,0.0,0.0
1627477708027501823,10,0,,0.0,0.0,0.0,0.0,0.0,0.0
1627477708060347242,11,0,,0.0,0.0,0.0,0.0,0.0,0.0
1627477708093874737,12,0,,0.0,0.0,0.0,0.0,0.0,0.0
1627477708127306623,13,0,,0.0,0.0,0.0,0.0,0.0,0.0
1627477708160458371,14,0,,0.0,0.0,0.0,0.0,0.0,0.0
1627477708195014883,15,0,,0.0,0.0,0.0,0.0,0.0,0.0
1627477708228535274,16,0,,0.0,0.0,0.0,0.0,0.0,0.0
1627477708260681665,17,0,,0.0,0.0,0.0,0.0,0.0,0.0
1627477708293709134,18,0,,0.0,0.0,0.0,0.0,0.0,0.0
1627477708328242119,19,0,,0.0,0.0,0.0,0.0,0.0,0.0
1627477708362198136,20,0,,0.0,0.0,0.0,0.0,0.0,0.0
1627477708393904570,21,0,,0.0,0.0,0.0,0.0,0.0,0.0
1627477708427366773,22,0,,0.0,0.0,0.0,0.0,0.0,0.0
1627477708460621928,23,0,,0.0,0.0,0.0,0.0,0.0,0.0
1627477708493679143,24,0,,0.0,0.0,0.0,0.0,0.0,0.0
1627477708527947479,25,0,,0.0,0.0,0.0,0.0,0.0,0.0
1627477708560718484,26,0,,0.0,0.0,0.0,0.0,0.0,0.0
1627477708593802223,27,0,,0.0,0.0,0.0,0.0,0.0,0.0
1627477708627161395,28,0,,0.0,0.0,0.0,0.0,0.0,0.0
1627477708660571227,29,0,,0.0,0.0,0.0,0.0,0.0,0.0
1627477708694095355,30,0,,0.0,0.0,0.0,0.0,0.0,0.0
1627477708728371707,31,0,,0.0,0.0,0.0,0.0,0.0,0.0
1627477708760380140,32,0,,0.0,0.0,0.0,0.0,0.0,0.0
1627477708794191814,33,0,,0.0,0.0,0.0,0.0,0.0,0.0
1627477708827312849,34,0,,0.0,0.0,0.0,0.0,0.0,0.0
1627477708860504634,35,0,,0.0,0.0,0.0,0.0,0.0,0.0
1627477708893968645,36,0,,0.0,0.0,0.0,0.0,0.0,0.0
1627477708927262404,37,0,,0.0,0.0,0.0,0.0,0.0,0.0
1627477708960533889,38,0,,0.0,0.0,0.0,0.0,0.0,0.0
1627477708993825547,39,0,,0.0,0.0,0.0,0.0,0.0,0.0
1627477709027727300,40,0,,0.0,0.0,0.0,0.0,0.0,0.0
1627477709060881738,41,0,,0.0,0.0,0.0,0.0,0.0,0.0
1627477709093792578,42,0,,0.0,0.0,0.0,0.0,0.0,0.0
1627477709127363055,43,0,,0.0,0.0,0.0,0.0,0.0,0.0
1627477709160685076,44,0,,0.0,0.0,0.0,0.0,0.0,0.0
1627477709194260007,45,0,,0.0,0.0,0.0,0.0,0.0,0.0
1627477709227448669,46,0,,0.0,0.0,0.0,0.0,0.0,0.0
1627477709261062306,47,0,,0.0,0.0,0.0,0.0,0.0,0.0
1627477709293853719,48,0,,0.0,0.0,0.0,0.0,0.0,0.0
1627477709327407547,49,0,,0.0,0.0,0.0,0.0,0.0,0.0
1627477709360454382,50,0,,0.0,0.0,0.0,0.0,0.0,0.0
1627477709393889184,51,0,,0.0,0.0,0.0,0.0,0.0,0.0
1627477709427067138,52,0,,0.0,0.0,0.0,0.0,0.0,0.0
1627477709460551769,53,0,,0.0,0.0,0.0,0.0,0.0,0.0
1627477709493712088,54,0,,0.0,0.0,0.0,0.0,0.0,0.0
1627477709527400724,55,0,,0.0,0.0,0.0,0.0,0.0,0.0
1627477709560527018,56,0,,0.0,0.0,0.0,0.0,0.0,0.0
1627477709593669919,57,0,,0.0,0.0,0.0,0.0,0.0,0.0
1627477709627683404,58,0,,0.0,0.0,0.0,0.0,0.0,0.0
1627477709661257866,59,0,,0.0,0.0,0.0,0.0,0.0,0.0
1627477709694008429,60,0,,0.0,0.0,0.0,0.0,0.0,0.0
1627477709727138822,61,0,,0.0,0.0,0.0,0.0,0.0,0.0
1627477709760725211,62,0,,0.0,0.0,0.0,0.0,0.0,0.0
1627477709793881252,63,0,,0.0,0.0,0.0,0.0,0.0,0.0
1627477709827622553,64,0,,0.0,0.0,0.0,0.0,0.0,0.0
1627477709860958548,65,0,,0.0,0.0,0.0,0.0,0.0,0.0
1627477709893656583,66,0,,0.0,0.0,0.0,0.0,0.0,0.0
1627477709927637671,67,0,,0.0,0.0,0.0,0.0,0.0,0.0
1627477709960618067,68,0,,0.0,0.0,0.0,0.0,0.0,0.0
1627477709993618540,69,0,,0.0,0.0,0.0,0.0,0.0,0.0
1627477710028192888,70,0,,0.0,0.0,0.0,0.0,0.0,0.0
1627477710060744209,71,0,,0.0,0.0,0.0,0.0,0.0,0.0
1627477710093690401,72,0,,0.0,0.0,0.0,0.0,0.0,0.0
1627477710127533939,73,0,,0.0,0.0,0.0,0.0,0.0,0.0
1627477710160803106,74,0,,0.0,0.0,0.0,0.0,0.0,0.0
1627477710193683189,75,0,,0.0,0.0,0.0,0.0,0.0,0.0
1627477710227309376,76,0,,0.0,0.0,0.0,0.0,0.0,0.0
1627477710260728329,77,0,,0.0,0.0,0.0,0.0,0.0,0.0
1627477710293685142,78,0,,0.0,0.0,0.0,0.0,0.0,0.0
1627477710327450786,79,0,,0.0,0.0,0.0,0.0,0.0,0.0
1627477710364319130,80,0,,0.0,0.0,0.0,0.0,0.0,0.0
1627477710393860009,81,0,,0.0,0.0,0.0,0.0,0.0,0.0
1627477710430066120,82,0,,0.0,0.0,0.0,0.0,0.0,0.0
1627477710460454590,83,0,,0.0,0.0,0.0,0.0,0.0,0.0
1627477710493998148,84,0,,0.0,0.0,0.0,0.0,0.0,0.0
1627477710528148622,85,0,,0.0,0.0,0.0,0.0,0.0,0.0
1627477710561180669,86,0,,0.0,0.0,0.0,0.0,0.0,0.0
1627477710593850678,87,0,,0.0,0.0,0.0,0.0,0.0,0.0
1627477710627895650,88,0,,0.0,0.0,0.0,0.0,0.0,0.0
1627477710662120262,89,0,,0.0,0.0,0.0,0.0,0.0,0.0
1627477710693896096,90,0,,0.0,0.0,0.0,0.0,0.0,0.0
1627477710727758211,91,0,,0.0,0.0,0.0,0.0,0.0,0.0
1627477710760801480,92,0,,0.0,0.0,0.0,0.0,0.0,0.0
1627477710793759903,93,0,,0.0,0.0,0.0,0.0,0.0,0.0
1627477710827470867,94,0,,0.0,0.0,0.0,0.0,0.0,0.0
1627477710860313805,95,0,,0.0,0.0,0.0,0.0,0.0,0.0
1627477710893997795,96,0,,0.0,0.0,0.0,0.0,0.0,0.0
1627477710928114927,97,0,,0.0,0.0,0.0,0.0,0.0,0.0
1627477710960923546,98,0,,0.0,0.0,0.0,0.0,0.0,0.0
1627477710994064428,99,0,,0.0,0.0,0.0,0.0,0.0,0.0
1627477711027452762,100,0,,0.0,0.0,0.0,0.0,0.0,0.0
1627477711060659805,101,0,,0.0,0.0,0.0,0.0,0.0,0.0
1627477711093788251,102,0,,0.0,0.0,0.0,0.0,0.0,0.0
1627477711127628715,103,0,,0.0,0.0,0.0,0.0,0.0,0.0
1627477711161048475,104,0,,0.0,0.0,0.0,0.0,0.0,0.0
1627477711193826613,105,0,,0.0,0.0,0.0,0.0,0.0,0.0
1627477711227530295,106,0,,0.0,0.0,0.0,0.0,0.0,0.0
1627477711260568668,107,0,,0.0,0.0,0.0,0.0,0.0,0.0
1627477711294146712,108,0,,0.0,0.0,0.0,0.0,0.0,0.0
1627477711328194325,109,0,,0.0,0.0,0.0,0.0,0.0,0.0
1627477711361001999,110,0,,0.0,0.0,0.0,0.0,0.0,0.0
1627477711393692941,111,0,,0.0,0.0,0.0,0.0,0.0,0.0
1627477711428896722,112,0,,0.0,0.0,0.0,0.0,0.0,0.0
1627477711461530090,113,0,,0.0,0.0,0.0,0.0,0.0,0.0
1627477711494032122,114,0,,0.0,0.0,0.0,0.0,0.0,0.0
1627477711529352491,115,0,,0.0,0.0,0.0,0.0,0.0,0.0
1627477711560996033,116,0,,0.0,0.0,0.0,0.0,0.0,0.0
1627477711593952086,117,0,,0.0,0.0,0.0,0.0,0.0,0.0
1627477711627699778,118,0,,0.0,0.0,0.0,0.0,0.0,0.0
1627477711660409444,119,0,,0.0,0.0,0.0,0.0,0.0,0.0
1627477711693807520,120,0,,0.0,0.0,0.0,0.0,0.0,0.0
1627477711727050639,121,0,,0.0,0.0,0.0,0.0,0.0,0.0
1627477711760342400,122,0,,0.0,0.0,0.0,0.0,0.0,0.0
1627477711793930715,123,0,,0.0,0.0,0.0,0.0,0.0,0.0
1627477711827537088,124,0,,0.0,0.0,0.0,0.0,0.0,0.0
1627477711860588926,125,0,,0.0,0.0,0.0,0.0,0.0,0.0
1627477711894215881,126,0,,0.0,0.0,0.0,0.0,0.0,0.0
1627477711927155265,127,0,,0.0,0.0,0.0,0.0,0.0,0.0
1627477711960699664,128,0,,0.0,0.0,0.0,0.0,0.0,0.0
1627477711993795335,129,0,,0.0,0.0,0.0,0.0,0.0,0.0
1627477712027214507,130,0,,0.0,0.0,0.0,0.0,0.0,0.0
1627477712060511086,131,0,,0.0,0.0,0.0,0.0,0.0,0.0
1627477712093884316,132,0,,0.0,0.0,0.0,0.0,0.0,0.0
1627477712127391514,133,0,,0.0,0.0,0.0,0.0,0.0,0.0
1627477712160799254,134,0,,0.0,0.0,0.0,0.0,0.0,0.0
1627477712193929005,135,0,,0.0,0.0,0.0,0.0,0.0,0.0
1627477712228305687,136,0,,0.0,0.0,0.0,0.0,0.0,0.0
1627477712260659398,137,0,,0.0,0.0,0.0,0.0,0.0,0.0
1627477712294005255,138,0,,0.0,0.0,0.0,0.0,0.0,0.0
1627477712328156032,139,0,,0.0,0.0,0.0,0.0,0.0,0.0
1627477712360679317,140,0,,0.0,0.0,0.0,0.0,0.0,0.0
1627477712393954622,141,0,,0.0,0.0,0.0,0.0,0.0,0.0
1627477712427820903,142,0,,0.0,0.0,0.0,0.0,0.0,0.0
1627477712460661172,143,0,,0.0,0.0,0.0,0.0,0.0,0.0
1627477712493812811,144,0,,0.0,0.0,0.0,0.0,0.0,0.0
1627477712526957528,145,0,,0.0,0.0,0.0,0.0,0.0,0.0
1627477712560767694,146,0,,0.0,0.0,0.0,0.0,0.0,0.0
1627477712593803269,147,0,,0.0,0.0,0.0,0.0,0.0,0.0
1627477712627235870,148,0,,0.0,0.0,0.0,0.0,0.0,0.0
1627477712660441055,149,0,,0.0,0.0,0.0,0.0,0.0,0.0
1627477712693758846,150,0,,0.0,0.0,0.0,0.0,0.0,0.0
1627477712727083512,151,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477712760388911,152,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477712793735387,153,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477712827182711,154,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477712860509442,155,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477712893681818,156,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477712927868677,157,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477712960334568,158,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477712993727820,159,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477713026991883,160,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477713060811594,161,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477713093997556,162,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477713127309504,163,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477713161124940,164,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477713193704621,165,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477713227280550,166,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477713261126012,167,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477713293727685,168,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477713327128665,169,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477713360520006,170,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477713394422181,171,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477713427350971,172,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477713460520883,173,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477713493701891,174,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477713527564348,175,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477713560706259,176,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477713593933423,177,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477713627106447,178,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477713660536082,179,0,,1.0,0.0,0.0,0.0,0.0,0.0
